N/A,Sample1,IR88888-UBN3-4,0,"IR^88888-UBN3-4	;space expected between IR and plant number#IR88888^-UBN3-4	;string pattern not recognized. #IR88888-UBN^3-4	;space expected between location code and plant number#IR88888-UBN3^-4	;string pattern not recognized. #",N/A,Sample3,1,in standardized format,"Sample3
Sample1"
N/A,IR 81896-B-B-195/IR 86929-B-464,IR 81896-B-B-195,1156,in standardized format,"IR 81896#IR 81896-B#IR 81896-B-B#IR 81896-B-B-195",IR 86929-B-45,1157,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-45
IR 81896-B-B-195/IR 86929-B-464"
N/A,IR 81896-B-B-195/IR 86929-B-482,IR 81896-B-B-195,1158,in standardized format,"IR 81896#IR 81896-B#IR 81896-B-B#IR 81896-B-B-195",IR 86929-B-464,1159,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-464
IR 81896-B-B-195/IR 86929-B-482"
N/A,IR 08L119/IR 86931-B-13,IR 81896-B-B-195,1160,in standardized format,"IR 81896#IR 81896-B#IR 81896-B-B#IR 81896-B-B-195",IR 86929-B-482,1161,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-482
IR 08L119/IR 86931-B-13"
N/A,IR 08L119/IR 86931-B-294,IR 08L119,1162,"IR ^08L119	;unexpected space is found#IR 08L119	;string pattern not recognized #",N/A,IR 86931-B-13,1163,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-13
IR 08L119/IR 86931-B-294"
N/A,IR 08L119/IR 86931-B-301,IR 08L119,1164,"IR ^08L119	;unexpected space is found#IR 08L119	;string pattern not recognized #",N/A,IR 86931-B-294,1165,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-294
IR 08L119/IR 86931-B-301"
N/A,IR 08L119/IR 86931-B-346,IR 08L119,1166,"IR ^08L119	;unexpected space is found#IR 08L119	;string pattern not recognized #",N/A,IR 86931-B-301,1167,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-301
IR 08L119/IR 86931-B-346"
N/A,IR 06L126/IR 86931-B-373,IR 08L119,1168,"IR ^08L119	;unexpected space is found#IR 08L119	;string pattern not recognized #",N/A,IR 86931-B-346,1169,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-346
IR 06L126/IR 86931-B-373"
N/A,IR 06L126/IR 86931-B-400,IR 06L126,1170,"IR ^06L126	;unexpected space is found#IR 06L126	;string pattern not recognized #",N/A,IR 86931-B-373,1171,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-373
IR 06L126/IR 86931-B-400"
N/A,IR 06L126/IR 86931-B-414,IR 06L126,1172,"IR ^06L126	;unexpected space is found#IR 06L126	;string pattern not recognized #",N/A,IR 86931-B-400,1173,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-400
IR 06L126/IR 86931-B-414"
N/A,IR 06L126/IR 86931-B-519,IR 06L126,1174,"IR ^06L126	;unexpected space is found#IR 06L126	;string pattern not recognized #",N/A,IR 86931-B-414,1175,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-414
IR 06L126/IR 86931-B-519"
N/A,IR 07L217/IR 86931-B-521,IR 06L126,1176,"IR ^06L126	;unexpected space is found#IR 06L126	;string pattern not recognized #",N/A,IR 86931-B-519,1177,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-519
IR 07L217/IR 86931-B-521"
N/A,IR 07L217/IR 86931-B-552,IR 07L217,1178,"IR ^07L217	;unexpected space is found#IR 07L217	;string pattern not recognized #",N/A,IR 86931-B-521,1179,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-521
IR 07L217/IR 86931-B-552"
N/A,IR 07L217/IR 88286-111-1,IR 07L217,1180,"IR ^07L217	;unexpected space is found#IR 07L217	;string pattern not recognized #",N/A,IR 86931-B-552,1181,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-552
IR 07L217/IR 88286-111-1"
N/A,IR 07L217/IR 88286-146-1,IR 07L217,1182,"IR ^07L217	;unexpected space is found#IR 07L217	;string pattern not recognized #",N/A,IR 88286-111-1,1183,in standardized format,"IR 88286#IR 88286-111#IR 88286-111-1
IR 07L217/IR 88286-146-1"
N/A,IR 07L225/IR 88286-171-1,IR 07L217,1184,"IR ^07L217	;unexpected space is found#IR 07L217	;string pattern not recognized #",N/A,IR 88286-146-1,1185,in standardized format,"IR 88286#IR 88286-146#IR 88286-146-1
IR 07L225/IR 88286-171-1"
N/A,IR 07L225/IR 88286-398-1,IR 07L225,1186,"IR ^07L225	;unexpected space is found#IR 07L225	;string pattern not recognized #",N/A,IR 88286-171-1,1187,in standardized format,"IR 88286#IR 88286-171#IR 88286-171-1
IR 07L225/IR 88286-398-1"
N/A,IR 07L225/IR 88286-416-1,IR 07L225,1188,"IR ^07L225	;unexpected space is found#IR 07L225	;string pattern not recognized #",N/A,IR 88286-398-1,1189,in standardized format,"IR 88286#IR 88286-398#IR 88286-398-1
IR 07L225/IR 88286-416-1"
N/A,IR 07L225/IR 88286-465-1,IR 07L225,1190,"IR ^07L225	;unexpected space is found#IR 07L225	;string pattern not recognized #",N/A,IR 88286-416-1,1191,in standardized format,"IR 88286#IR 88286-416#IR 88286-416-1
IR 07L225/IR 88286-465-1"
N/A,IR 86918-B-470/IR 88287-131-1,IR 07L225,1192,"IR ^07L225	;unexpected space is found#IR 07L225	;string pattern not recognized #",N/A,IR 88286-465-1,1193,in standardized format,"IR 88286#IR 88286-465#IR 88286-465-1
IR 86918-B-470/IR 88287-131-1"
N/A,IR 86918-B-470/IR 88287-180-1,IR 86918-B-470,1194,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-470",IR 88287-131-1,1195,in standardized format,"IR 88287#IR 88287-131#IR 88287-131-1
IR 86918-B-470/IR 88287-180-1"
N/A,IR 86918-B-470/IR 88287-19-1,IR 86918-B-470,1196,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-470",IR 88287-180-1,1197,in standardized format,"IR 88287#IR 88287-180#IR 88287-180-1
IR 86918-B-470/IR 88287-19-1"
N/A,IR 86918-B-470/IR 88286-398-1,IR 86918-B-470,1198,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-470",IR 88287-19-1,1199,in standardized format,"IR 88287#IR 88287-19#IR 88287-19-1
IR 86918-B-470/IR 88286-398-1"
N/A,IR 86918-B-439/IR 88286-416-1,IR 86918-B-470,1200,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-470",IR 88286-398-1,1201,in standardized format,"IR 88286#IR 88286-398#IR 88286-398-1
IR 86918-B-439/IR 88286-416-1"
N/A,IR 86918-B-439/IR 88286-465-1,IR 86918-B-439,1202,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-439",IR 88286-416-1,1203,in standardized format,"IR 88286#IR 88286-416#IR 88286-416-1
IR 86918-B-439/IR 88286-465-1"
N/A,IR 86918-B-439/IR 88287-131-1,IR 86918-B-439,1204,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-439",IR 88286-465-1,1205,in standardized format,"IR 88286#IR 88286-465#IR 88286-465-1
IR 86918-B-439/IR 88287-131-1"
N/A,IR 86918-B-439/IR 88287-180-1,IR 86918-B-439,1206,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-439",IR 88287-131-1,1207,in standardized format,"IR 88287#IR 88287-131#IR 88287-131-1
IR 86918-B-439/IR 88287-180-1"
N/A,IR 86918-B-382/IR 88287-19-1,IR 86918-B-439,1208,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-439",IR 88287-180-1,1209,in standardized format,"IR 88287#IR 88287-180#IR 88287-180-1
IR 86918-B-382/IR 88287-19-1"
N/A,IR 86918-B-382/IR 86918-B-92,IR 86918-B-382,1210,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-382",IR 88287-19-1,1211,in standardized format,"IR 88287#IR 88287-19#IR 88287-19-1
IR 86918-B-382/IR 86918-B-92"
N/A,IR 86918-B-382/IR 86929-B-128,IR 86918-B-382,1212,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-382",IR 86918-B-92,1213,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-92
IR 86918-B-382/IR 86929-B-128"
N/A,IR 86918-B-382/IR 86929-B-159,IR 86918-B-382,1214,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-382",IR 86929-B-128,1215,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-128
IR 86918-B-382/IR 86929-B-159"
N/A,IR 86918-B-315/IR 86929-B-45,IR 86918-B-382,1216,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-382",IR 86929-B-159,1217,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-159
IR 86918-B-315/IR 86929-B-45"
N/A,IR 86918-B-315/IR 86929-B-464,IR 86918-B-315,1218,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-315",IR 86929-B-45,1219,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-45
IR 86918-B-315/IR 86929-B-464"
N/A,IR 86918-B-315/IR 86929-B-482,IR 86918-B-315,1220,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-315",IR 86929-B-464,1221,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-464
IR 86918-B-315/IR 86929-B-482"
N/A,IR 86918-B-315/IR 86931-B-13,IR 86918-B-315,1222,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-315",IR 86929-B-482,1223,in standardized format,"IR 86929#IR 86929-B#IR 86929-B-482
IR 86918-B-315/IR 86931-B-13"
N/A,IR 09L242/IR 86931-B-294,IR 86918-B-315,1224,in standardized format,"IR 86918#IR 86918-B#IR 86918-B-315",IR 86931-B-13,1225,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-13
IR 09L242/IR 86931-B-294"
N/A,IR 09L242/IR 86931-B-301,IR 09L242,1226,"IR ^09L242	;unexpected space is found#IR 09L242	;string pattern not recognized #",N/A,IR 86931-B-294,1227,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-294
IR 09L242/IR 86931-B-301"
N/A,IR 09L242/IR 86931-B-346,IR 09L242,1228,"IR ^09L242	;unexpected space is found#IR 09L242	;string pattern not recognized #",N/A,IR 86931-B-301,1229,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-301
IR 09L242/IR 86931-B-346"
N/A,IR 09L242/IR 86931-B-373,IR 09L242,1230,"IR ^09L242	;unexpected space is found#IR 09L242	;string pattern not recognized #",N/A,IR 86931-B-346,1231,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-346
IR 09L242/IR 86931-B-373"
N/A,IR 09L324/IR 86931-B-400,IR 09L242,1232,"IR ^09L242	;unexpected space is found#IR 09L242	;string pattern not recognized #",N/A,IR 86931-B-373,1233,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-373
IR 09L324/IR 86931-B-400"
N/A,IR 09L324/IR 86931-B-414,IR 09L324,1234,"IR ^09L324	;unexpected space is found#IR 09L324	;string pattern not recognized #",N/A,IR 86931-B-400,1235,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-400
IR 09L324/IR 86931-B-414"
N/A,IR 09L324/IR 86931-B-519,IR 09L324,1236,"IR ^09L324	;unexpected space is found#IR 09L324	;string pattern not recognized #",N/A,IR 86931-B-414,1237,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-414
IR 09L324/IR 86931-B-519"
N/A,IR 09L324/IR 86931-B-521,IR 09L324,1238,"IR ^09L324	;unexpected space is found#IR 09L324	;string pattern not recognized #",N/A,IR 86931-B-519,1239,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-519
IR 09L324/IR 86931-B-521"
N/A,IR 09L224/IR 86931-B-552,IR 09L324,1240,"IR ^09L324	;unexpected space is found#IR 09L324	;string pattern not recognized #",N/A,IR 86931-B-521,1241,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-521
IR 09L224/IR 86931-B-552"
N/A,IR 09L224/IR 88286-111-1,IR 09L224,1242,"IR ^09L224	;unexpected space is found#IR 09L224	;string pattern not recognized #",N/A,IR 86931-B-552,1243,in standardized format,"IR 86931#IR 86931-B#IR 86931-B-552
IR 09L224/IR 88286-111-1"
N/A,IR 09L224/IR 88286-146-1,IR 09L224,1244,"IR ^09L224	;unexpected space is found#IR 09L224	;string pattern not recognized #",N/A,IR 88286-111-1,1245,in standardized format,"IR 88286#IR 88286-111#IR 88286-111-1
IR 09L224/IR 88286-146-1"
N/A,IR 09L224/IR 88286-171-1,IR 09L224,1246,"IR ^09L224	;unexpected space is found#IR 09L224	;string pattern not recognized #",N/A,IR 88286-146-1,1247,in standardized format,"IR 88286#IR 88286-146#IR 88286-146-1
IR 09L224/IR 88286-171-1"
N/A,IR 09L343/IR 88286-398-1,IR 09L224,1248,"IR ^09L224	;unexpected space is found#IR 09L224	;string pattern not recognized #",N/A,IR 88286-171-1,1249,in standardized format,"IR 88286#IR 88286-171#IR 88286-171-1
IR 09L343/IR 88286-398-1"
N/A,IR 09L343/IR 88286-416-1,IR 09L343,1250,"IR ^09L343	;unexpected space is found#IR 09L343	;string pattern not recognized #",N/A,IR 88286-398-1,1251,in standardized format,"IR 88286#IR 88286-398#IR 88286-398-1
IR 09L343/IR 88286-416-1"
N/A,IR 09L343/IR 88286-465-1,IR 09L343,1252,"IR ^09L343	;unexpected space is found#IR 09L343	;string pattern not recognized #",N/A,IR 88286-416-1,1253,in standardized format,"IR 88286#IR 88286-416#IR 88286-416-1
IR 09L343/IR 88286-465-1"
N/A,IR 09L343/IR 88287-131-1,IR 09L343,1254,"IR ^09L343	;unexpected space is found#IR 09L343	;string pattern not recognized #",N/A,IR 88286-465-1,1255,in standardized format,"IR 88286#IR 88286-465#IR 88286-465-1
IR 09L343/IR 88287-131-1"
N/A,IR 09L332/IR 88287-180-1,IR 09L343,1256,"IR ^09L343	;unexpected space is found#IR 09L343	;string pattern not recognized #",N/A,IR 88287-131-1,1257,in standardized format,"IR 88287#IR 88287-131#IR 88287-131-1
IR 09L332/IR 88287-180-1"
N/A,IR 09L332/IR 88287-19-1,IR 09L332,1258,"IR ^09L332	;unexpected space is found#IR 09L332	;string pattern not recognized #",N/A,IR 88287-180-1,1259,in standardized format,"IR 88287#IR 88287-180#IR 88287-180-1
IR 09L332/IR 88287-19-1"
N/A,IR 09L332/IR 88286-398-1,IR 09L332,1260,"IR ^09L332	;unexpected space is found#IR 09L332	;string pattern not recognized #",N/A,IR 88287-19-1,1261,in standardized format,"IR 88287#IR 88287-19#IR 88287-19-1
IR 09L332/IR 88286-398-1"
N/A,IR 09L332/IR 88286-416-1,IR 09L332,1262,"IR ^09L332	;unexpected space is found#IR 09L332	;string pattern not recognized #",N/A,IR 88286-398-1,1263,in standardized format,"IR 88286#IR 88286-398#IR 88286-398-1
IR 09L332/IR 88286-416-1"
N/A,IR 88287-180-1/IR 88286-465-1,IR 09L332,1264,"IR ^09L332	;unexpected space is found#IR 09L332	;string pattern not recognized #",N/A,IR 88286-416-1,1265,in standardized format,"IR 88286#IR 88286-416#IR 88286-416-1
IR 88287-180-1/IR 88286-465-1"
N/A,IR 88287-19-1/IR 88287-131-1,IR 88287-180-1,1266,in standardized format,"IR 88287#IR 88287-180#IR 88287-180-1",IR 88286-465-1,1267,in standardized format,"IR 88286#IR 88286-465#IR 88286-465-1
IR 88287-19-1/IR 88287-131-1"
N/A,IR 88287-215-1/OM 4498,IR 88287-19-1,1268,in standardized format,"IR 88287#IR 88287-19#IR 88287-19-1",IR 88287-131-1,1269,in standardized format,"IR 88287#IR 88287-131#IR 88287-131-1
IR 88287-215-1/OM 4498"
N/A,VANDANA/OM 4900,IR 88287-215-1,1270,in standardized format,"IR 88287#IR 88287-215#IR 88287-215-1",OM 4498,1271,in standardized format,"OM 4498
VANDANA/OM 4900"
N/A,VANDANA/IRRI 123,VANDANA,1272,in standardized format,"VANDANA",OM 4900,1273,in standardized format,"OM 4900
VANDANA/IRRI 123"
N/A,VANDANA/PUSA BASMATI 1,VANDANA,1274,in standardized format,"VANDANA",IRRI 123,1275,in standardized format,"IRRI 123
VANDANA/PUSA BASMATI 1"
N/A,VANDANA/SADRI,VANDANA,1276,in standardized format,"VANDANA",PUSA BASMATI 1,1277,in standardized format,"PUSA BASMATI 1
VANDANA/SADRI"
N/A,VANDANA/IR 13240-108-2-2-3,VANDANA,1278,in standardized format,"VANDANA",SADRI,1279,in standardized format,"SADRI
VANDANA/IR 13240-108-2-2-3"
N/A,IR 4630-22-2-5-1-3/ITA 306,VANDANA,1280,in standardized format,"VANDANA",IR 13240-108-2-2-3,1281,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3
IR 4630-22-2-5-1-3/ITA 306"
N/A,IR 4630-22-2-5-1-3/IR 45427-2B-2-2B-1-1,IR 4630-22-2-5-1-3,1282,in standardized format,"IR 4630#IR 4630-22#IR 4630-22-2#IR 4630-22-2-5#IR 4630-22-2-5-1#IR 4630-22-2-5-1-3",ITA 306,1283,in standardized format,"ITA 306
IR 4630-22-2-5-1-3/IR 45427-2B-2-2B-1-1"
N/A,IR 4630-22-2-5-1-3/IR 55179-3B-11-3,IR 4630-22-2-5-1-3,1284,in standardized format,"IR 4630#IR 4630-22#IR 4630-22-2#IR 4630-22-2-5#IR 4630-22-2-5-1#IR 4630-22-2-5-1-3",IR 45427-2B-2-2B-1-1,1285,in standardized format,"IR 45427#IR 45427-2B#IR 45427-2B-2#IR 45427-2B-2-2B#IR 45427-2B-2-2B-1#IR 45427-2B-2-2B-1-1
IR 4630-22-2-5-1-3/IR 55179-3B-11-3"
N/A,IR 4630-22-2-5-1-3/IR 64197-3B-3-1,IR 4630-22-2-5-1-3,1286,in standardized format,"IR 4630#IR 4630-22#IR 4630-22-2#IR 4630-22-2-5#IR 4630-22-2-5-1#IR 4630-22-2-5-1-3",IR 55179-3B-11-3,1287,in standardized format,"IR 55179#IR 55179-3B#IR 55179-3B-11#IR 55179-3B-11-3
IR 4630-22-2-5-1-3/IR 64197-3B-3-1"
N/A,IR 4630-22-2-5-1-3/IR 65196-3B-5-2-2,IR 4630-22-2-5-1-3,1288,in standardized format,"IR 4630#IR 4630-22#IR 4630-22-2#IR 4630-22-2-5#IR 4630-22-2-5-1#IR 4630-22-2-5-1-3",IR 64197-3B-3-1,1289,in standardized format,"IR 64197#IR 64197-3B#IR 64197-3B-3#IR 64197-3B-3-1
IR 4630-22-2-5-1-3/IR 65196-3B-5-2-2"
N/A,IR 66946-3R-178-1-1/CSR 28,IR 4630-22-2-5-1-3,1290,in standardized format,"IR 4630#IR 4630-22#IR 4630-22-2#IR 4630-22-2-5#IR 4630-22-2-5-1#IR 4630-22-2-5-1-3",IR 65196-3B-5-2-2,1291,in standardized format,"IR 65196#IR 65196-3B#IR 65196-3B-5#IR 65196-3B-5-2#IR 65196-3B-5-2-2
IR 66946-3R-178-1-1/CSR 28"
N/A,IR 66946-3R-178-1-1/IR 74099-3R-3-3,IR 66946-3R-178-1-1,1292,"IR 66946-3R^-178-1-1	;string pattern not recognized. #",N/A,CSR 28,1293,in standardized format,"CSR 28
IR 66946-3R-178-1-1/IR 74099-3R-3-3"
N/A,IR 66946-3R-178-1-1/IR 73571-3B-14-1,IR 66946-3R-178-1-1,1294,"IR 66946-3R^-178-1-1	;string pattern not recognized. #",N/A,IR 74099-3R-3-3,1295,"IR 74099-3R^-3-3	;string pattern not recognized. #",N/A
N/A,IR 66946-3R-178-1-1/SAMBHA MAHSURI,IR 66946-3R-178-1-1,1296,"IR 66946-3R^-178-1-1	;string pattern not recognized. #",N/A,IR 73571-3B-14-1,1297,in standardized format,"IR 73571#IR 73571-3B#IR 73571-3B-14#IR 73571-3B-14-1
IR 66946-3R-178-1-1/SAMBHA MAHSURI"
N/A,IR 66946-3R-178-1-1/FH132,IR 66946-3R-178-1-1,1298,"IR 66946-3R^-178-1-1	;string pattern not recognized. #",N/A,SAMBHA MAHSURI,1299,in standardized format,"SAMBHA MAHSURI
IR 66946-3R-178-1-1/FH132"
N/A,MTU 1010/SR 26 B,IR 66946-3R-178-1-1,1300,"IR 66946-3R^-178-1-1	;string pattern not recognized. #",N/A,FH132,1301,in standardized format,"FH132
MTU 1010/SR 26 B"
N/A,MTU 1010/SUPA,MTU 1010,1302,in standardized format,"MTU 1010",SR 26 B,1303,in standardized format,"SR 26 B
MTU 1010/SUPA"
N/A,MTU 1010/SWARNA,MTU 1010,1304,in standardized format,"MTU 1010",SUPA,1305,in standardized format,"SUPA
MTU 1010/SWARNA"
N/A,MTU 1010/CENTAURO,MTU 1010,1306,in standardized format,"MTU 1010",SWARNA,1307,in standardized format,"SWARNA
MTU 1010/CENTAURO"
N/A,MTU 1010/COLOMBIA XXI,MTU 1010,1308,in standardized format,"MTU 1010",CENTAURO,1309,in standardized format,"CENTAURO
MTU 1010/COLOMBIA XXI"
N/A,SABITRI/CT 6946-9-1-2-M-1P,MTU 1010,1310,in standardized format,"MTU 1010",COLOMBIA XXI,1311,in standardized format,"COLOMBIA XXI
SABITRI/CT 6946-9-1-2-M-1P"
N/A,SABITRI/FL 1028-8P-3-2P-1P-M-2X-3P-1P,SABITRI,1312,in standardized format,"SABITRI",DULAR,1313,in standardized format,"DULAR
SABITRI/FL 1028-8P-3-2P-1P-M-2X-3P-1P"
N/A,SAMBHA MAHSURI/GIZA 178,SAMBHA MAHSURI,1314,in standardized format,"SAMBHA MAHSURI",GIZA 159,1315,in standardized format,"GIZA 159
SAMBHA MAHSURI/GIZA 178"
N/A,SAMBHA MAHSURI/GOCHI BORO,SAMBHA MAHSURI,1316,in standardized format,"SAMBHA MAHSURI",GIZA 178,1317,in standardized format,"GIZA 178
SAMBHA MAHSURI/GOCHI BORO"
N/A,SAMBHA MAHSURI/IDSA 77,SAMBHA MAHSURI,1318,in standardized format,"SAMBHA MAHSURI",GOCHI BORO,1319,in standardized format,"GOCHI BORO
SAMBHA MAHSURI/IDSA 77"
N/A,SWARNA/IR 2307-247-2-2-3,SAMBHA MAHSURI,1320,in standardized format,"SAMBHA MAHSURI",IDSA 77,1321,in standardized format,"IDSA 77
SWARNA/IR 2307-247-2-2-3"
N/A,SWARNA/IR 6,SWARNA,1322,in standardized format,"SWARNA",IR 2307-247-2-2-3,1323,in standardized format,"IR 2307#IR 2307-247#IR 2307-247-2#IR 2307-247-2-2#IR 2307-247-2-2-3
SWARNA/IR 6"
N/A,SWARNA/IR 64,SWARNA,1324,in standardized format,"SWARNA",IR 6,1325,in standardized format,"IR 6
SWARNA/IR 64"
N/A,SWARNA/IR 75499-53-1,SWARNA,1326,in standardized format,"SWARNA",IR 64,1327,in standardized format,"IR 64
SWARNA/IR 75499-53-1"
N/A,SWARNA/IR 2006-P12-12-2-2,SWARNA,1328,in standardized format,"SWARNA",IR 75499-53-1,1329,in standardized format,"IR 75499#IR 75499-53#IR 75499-53-1
SWARNA/IR 2006-P12-12-2-2"
N/A,A 69-1/IR 2344-P1 PB-9-3-2B,SWARNA,1330,in standardized format,"SWARNA",IR 2006-P12-12-2-2,1331,"IR 2006-P12^-12-2-2	;string pattern not recognized. #",N/A
N/A,AGAMI MONT 1/SUPER BASMATI,AGAMI MONT 1,1332,in standardized format,"AGAMI MONT 1",SOM CAU 70 A,1333,in standardized format,"SOM CAU 70 A
AGAMI MONT 1/SUPER BASMATI"
N/A,AGAMI MONT 1/WAB 56-125,AGAMI MONT 1,1334,in standardized format,"AGAMI MONT 1",SUPER BASMATI,1335,in standardized format,"SUPER BASMATI
AGAMI MONT 1/WAB 56-125"
N/A,AGAMI MONT 1/OM 4498,AGAMI MONT 1,1336,in standardized format,"AGAMI MONT 1",WAB 56-125,1337,in standardized format,"WAB 56#WAB 56-125
AGAMI MONT 1/OM 4498"
N/A,AGAMI MONT 1/OM 4900,AGAMI MONT 1,1338,in standardized format,"AGAMI MONT 1",OM 4498,1339,in standardized format,"OM 4498
AGAMI MONT 1/OM 4900"
N/A,AT 401/IRRI 123,AGAMI MONT 1,1340,in standardized format,"AGAMI MONT 1",OM 4900,1341,in standardized format,"OM 4900
AT 401/IRRI 123"
N/A,AT 401/PUSA BASMATI 1,AT 401,1342,in standardized format,"AT 401",IRRI 123,1343,in standardized format,"IRRI 123
AT 401/PUSA BASMATI 1"
N/A,AT 401/SADRI,AT 401,1344,in standardized format,"AT 401",PUSA BASMATI 1,1345,in standardized format,"PUSA BASMATI 1
AT 401/SADRI"
N/A,AT 401/IR 13240-108-2-2-3,AT 401,1346,in standardized format,"AT 401",SADRI,1347,in standardized format,"SADRI
AT 401/IR 13240-108-2-2-3"
N/A,AT 401/ITA 306,AT 401,1348,in standardized format,"AT 401",IR 13240-108-2-2-3,1349,in standardized format,"IR 13240#IR 13240-108#IR 13240-108-2#IR 13240-108-2-2#IR 13240-108-2-2-3
AT 401/ITA 306"
N/A,BAO TAI ZAO/IR 45427-2B-2-2B-1-1,AT 401,1350,in standardized format,"AT 401",ITA 306,1351,in standardized format,"ITA 306
BAO TAI ZAO/IR 45427-2B-2-2B-1-1"
N/A,BAO TAI ZAO/IR 55179-3B-11-3,BAO TAI ZAO,1352,in standardized format,"BAO TAI ZAO",IR 45427-2B-2-2B-1-1,1353,in standardized format,"IR 45427#IR 45427-2B#IR 45427-2B-2#IR 45427-2B-2-2B#IR 45427-2B-2-2B-1#IR 45427-2B-2-2B-1-1
BAO TAI ZAO/IR 55179-3B-11-3"
N/A,BAO TAI ZAO/IR 64197-3B-3-1,BAO TAI ZAO,1354,in standardized format,"BAO TAI ZAO",IR 55179-3B-11-3,1355,in standardized format,"IR 55179#IR 55179-3B#IR 55179-3B-11#IR 55179-3B-11-3
BAO TAI ZAO/IR 64197-3B-3-1"
N/A,BAO TAI ZAO/IR 65196-3B-5-2-2,BAO TAI ZAO,1356,in standardized format,"BAO TAI ZAO",IR 64197-3B-3-1,1357,in standardized format,"IR 64197#IR 64197-3B#IR 64197-3B-3#IR 64197-3B-3-1
BAO TAI ZAO/IR 65196-3B-5-2-2"
N/A,BAO TAI ZAO/CSR 28,BAO TAI ZAO,1358,in standardized format,"BAO TAI ZAO",IR 65196-3B-5-2-2,1359,in standardized format,"IR 65196#IR 65196-3B#IR 65196-3B-5#IR 65196-3B-5-2#IR 65196-3B-5-2-2
BAO TAI ZAO/CSR 28"
N/A,CHA HE/IR 74099-3R-3-3,BAO TAI ZAO,1360,in standardized format,"BAO TAI ZAO",CSR 28,1361,in standardized format,"CSR 28
CHA HE/IR 74099-3R-3-3"
N/A,CHA HE/IR 73571-3B-14-1,CHA HE,1362,in standardized format,"CHA HE",IR 74099-3R-3-3,1363,"IR 74099-3R^-3-3	;string pattern not recognized. #",N/A
N/A,CHA HE/SAMBHA MAHSURI,CHA HE,1364,in standardized format,"CHA HE",IR 73571-3B-14-1,1365,in standardized format,"IR 73571#IR 73571-3B#IR 73571-3B-14#IR 73571-3B-14-1
CHA HE/SAMBHA MAHSURI"
N/A,CHA HE/FH132,CHA HE,1366,in standardized format,"CHA HE",SAMBHA MAHSURI,1367,in standardized format,"SAMBHA MAHSURI
CHA HE/FH132"
N/A,CHA HE/SR 26 B,CHA HE,1368,in standardized format,"CHA HE",FH132,1369,in standardized format,"FH132
CHA HE/SR 26 B"
N/A,BR 28/SUPA,CHA HE,1370,in standardized format,"CHA HE",SR 26 B,1371,in standardized format,"SR 26 B
BR 28/SUPA"
N/A,BR 28/SWARNA,BR 28,1372,in standardized format,"BR 28",SUPA,1373,in standardized format,"SUPA
BR 28/SWARNA"
N/A,BR 28/CENTAURO,BR 28,1374,in standardized format,"BR 28",SWARNA,1375,in standardized format,"SWARNA
BR 28/CENTAURO"
N/A,BR 28/COLOMBIA XXI,BR 28,1376,in standardized format,"BR 28",CENTAURO,1377,in standardized format,"CENTAURO
BR 28/COLOMBIA XXI"
